,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
0,6,10,1,1133,0.011134,0.15657,0.553799982682,0.524628022926
1,86,2,3,12,0.049054,0.497989,0.364304178887,0.587518934515
2,4,2,31,1,0.00311799999997,0.04369,0.0,1.47131279557
3,1,2,60,4341,0.010096,0.02207,0.531251813514,0.526108846732
4,1,2,78,182,0.00148799999999,0.023952,0.522918149441,0.511171207241
5,3,8,5,9,0.00263499999994,0.065522,0.28201380044,0.547416242329
6,1,11,10,5728,0.00974699999995,0.0237059999999,0.477160037996,0.481790383242
7,13,3,3,56,0.010955,0.0965239999999,0.552308611976,0.549437219592
8,72,4,21,20793,2.936346,0.549889,0.478243776642,0.472899720873
9,3,4,10,2,0.00133600000004,0.03693,0.0124082469793,0.541883860862
10,7,4,98,1,0.00436400000001,0.051655,0.0,0.541480961137
11,88,14,4,3312,0.159815,0.754642,0.47543141578,0.48017157478
12,5,8,89,3,0.00384899999995,0.0433220000001,0.085795071831,0.575604399093
13,12,2,10,8728,0.045787,0.087312,0.514672215982,0.517432716304
14,6,4,2,16,0.002341,0.058642,0.39095224069,0.588723253935
15,17,16,78,1,0.00589200000002,0.096661,0.0,0.537724107302
16,4,4,11,207,0.00226699999996,0.048413,0.452942883186,0.511551203526
17,7,2,72,18092,0.737325,0.06034,0.48690826811,0.483404294218
18,43,4,25,278,0.069794,0.696661,0.461587258535,0.482413212743
19,11,3,8,52,0.00469399999997,0.0933580000001,0.469558509225,0.509260551891
20,85,13,94,3280,1.516821,0.641703,0.396138242299,0.411588795256
21,90,7,86,1568,0.452072,0.646792,0.424632776381,0.437434766689
22,1,3,2,1,0.000644999999963,0.021489,0.0,0.644283715376
23,12,5,19,7,0.00462400000004,0.087217,0.18037290976,0.548868272813
24,15,14,3,39693,0.5061,0.144202,0.492753785396,0.491380234839
25,2,2,1,6349,0.0114599999999,0.031693,0.534885251277,0.535822910144
26,17,2,2,1,0.00657799999999,0.0970080000001,1.7763568394e-15,0.537626077289
27,6,3,59,3,0.00267499999995,0.07849,0.228232687294,0.690812064543
28,12,3,1,120,0.00503399999991,0.250149,0.543184255372,0.52844562668
29,2,15,66,22,0.00151700000004,0.041231,0.316855060564,0.65092216961
30,4,6,1,5,0.00188700000001,0.0398720000001,0.0803722468062,0.546273298077
31,5,11,10,12602,0.0620630000001,0.0526659999999,0.461061715957,0.456225741271
32,40,2,22,21768,0.485503,0.209725,0.509916362043,0.504546078667
33,85,16,3,15415,0.415577,0.582269,0.477551616174,0.481957593293
34,1,6,147,7,0.000595999999973,0.022258,0.321213703311,0.843208705172
35,29,2,8,1,0.00898600000005,0.136794,8.881784197e-16,0.554234668342
