Année, Mois, Jour, Heure, Durée, Début (secondes écoulées depuis l'epoch), Fin (secondes écoulées depuis l'epoch)
2015, 6, 6, 09:23:14, 59:46, 1433575394, 1433578980
2015, 6, 6, 10:28:05, 59:55, 1433579285, 1433582880
2015, 6, 6, 11:33:00, 01:00:00, 1433583180, 1433586780
2015, 6, 6, 12:38:00, 01:00:00, 1433587080, 1433590680
2015, 6, 6, 14:12:06, 59:54, 1433592726, 1433596320
2015, 6, 6, 15:20:10, 59:50, 1433596810, 1433600400
2015, 6, 6, 16:25:00, 01:00:18, 1433600700, 1433604318
2015, 6, 8, 09:38:39, 01:00:21, 1433749119, 1433752740
2015, 6, 8, 10:44:00, 01:00:00, 1433753040, 1433756640
2015, 6, 8, 14:00:19, 59:41, 1433764819, 1433768400
2015, 6, 8, 15:05:00, 01:00:00, 1433768700, 1433772300
2015, 6, 8, 16:10:00, 01:00:00, 1433772600, 1433776200
2015, 6, 8, 17:15:00, 01:00:00, 1433776500, 1433780100
2015, 6, 8, 18:15:24, 59:36, 1433780124, 1433783700
2015, 6, 8, 19:20:00, 01:00:00, 1433784000, 1433787600
2015, 6, 9, 09:54:38, 01:00:22, 1433836478, 1433840100
2015, 6, 9, 11:00:00, 01:00:00, 1433840400, 1433844000
2015, 6, 9, 13:56:56, 01:00:04, 1433851016, 1433854620
2015, 6, 9, 15:45:14, 59:46, 1433857514, 1433861100
2015, 6, 9, 17:44:21, 59:39, 1433864661, 1433868240
2015, 6, 9, 18:50:11, 43:19, 1433868611, 1433871210
2015, 6, 9, 21:20:06, 59:54, 1433877606, 1433881200
2015, 6, 9, 23:15:42, 01:00:18, 1433884542, 1433888160
2015, 6, 10, 13:15:07, 59:53, 1433934907, 1433938500
2015, 6, 10, 14:20:00, 01:00:00, 1433938800, 1433942400
2015, 6, 10, 15:25:00, 01:00:00, 1433942700, 1433946300
2015, 6, 10, 17:08:01, 59:59, 1433948881, 1433952480
2015, 6, 10, 18:16:35, 01:00:25, 1433952995, 1433956620
2015, 6, 10, 21:00:19, 59:41, 1433962819, 1433966400
2015, 6, 10, 22:05:00, 01:00:00, 1433966700, 1433970300
2015, 6, 10, 23:10:00, 01:00:00, 1433970600, 1433974200
2015, 6, 11, 10:02:41, 01:00:19, 1434009761, 1434013380
2015, 6, 11, 11:08:01, 52:27, 1434013681, 1434016828
2015, 6, 11, 13:35:09, 59:51, 1434022509, 1434026100
2015, 6, 11, 15:20:04, 59:56, 1434028804, 1434032400
2015, 6, 11, 16:32:42, 43:53, 1434033162, 1434035795
2015, 6, 12, 10:09:57, 01:00:03, 1434096597, 1434100200
2015, 6, 12, 11:15:00, 01:00:00, 1434100500, 1434104100
2015, 6, 14, 16:05:05, 59:55, 1434290705, 1434294300
2015, 6, 14, 17:10:00, 01:00:00, 1434294600, 1434298200
2015, 6, 14, 18:15:00, 01:00:00, 1434298500, 1434302100
2015, 6, 14, 19:29:32, 01:00:28, 1434302972, 1434306600
2015, 6, 14, 20:35:00, 01:00:00, 1434306900, 1434310500
2015, 6, 14, 22:10:55, 01:00:05, 1434312655, 1434316260
2015, 6, 15, 10:23:15, 59:45, 1434356595, 1434360180
2015, 6, 15, 17:56:58, 01:00:02, 1434383818, 1434387420
2015, 6, 15, 22:05:55, 01:00:05, 1434398755, 1434402360
