work,start,end,duration
work,2015-06-06 09:23:14,2015-06-06 10:23:00,59.766666666666666
work,2015-06-06 10:28:05,2015-06-06 11:28:00,59.916666666666664
work,2015-06-06 11:33:00,2015-06-06 12:33:00,60.0
work,2015-06-06 12:38:00,2015-06-06 13:38:00,60.0
work,2015-06-06 14:12:06,2015-06-06 15:12:00,59.9
work,2015-06-06 15:20:10,2015-06-06 16:20:00,59.833333333333336
work,2015-06-06 16:25:00,2015-06-06 17:25:18,60.3
work,2015-06-08 09:38:39,2015-06-08 10:39:00,60.35
work,2015-06-08 10:44:00,2015-06-08 11:44:00,60.0
work,2015-06-08 14:00:19,2015-06-08 15:00:00,59.68333333333333
work,2015-06-08 15:05:00,2015-06-08 16:05:00,60.0
work,2015-06-08 16:10:00,2015-06-08 17:10:00,60.0
work,2015-06-08 17:15:00,2015-06-08 18:15:00,60.0
work,2015-06-08 18:15:24,2015-06-08 19:15:00,59.6
work,2015-06-08 19:20:00,2015-06-08 20:20:00,60.0
work,2015-06-09 09:54:38,2015-06-09 10:55:00,60.36666666666667
work,2015-06-09 11:00:00,2015-06-09 12:00:00,60.0
work,2015-06-09 13:56:56,2015-06-09 14:57:00,60.06666666666667
work,2015-06-09 15:45:14,2015-06-09 16:45:00,59.766666666666666
work,2015-06-09 17:44:21,2015-06-09 18:44:00,59.65
work,2015-06-09 18:50:11,2015-06-09 19:33:30,43.31666666666667
work,2015-06-09 21:20:06,2015-06-09 22:20:00,59.9
work,2015-06-09 23:15:42,2015-06-10 00:16:00,60.3
work,2015-06-10 13:15:07,2015-06-10 14:15:00,59.88333333333333
work,2015-06-10 14:20:00,2015-06-10 15:20:00,60.0
work,2015-06-10 15:25:00,2015-06-10 16:25:00,60.0
work,2015-06-10 17:08:01,2015-06-10 18:08:00,59.983333333333334
work,2015-06-10 18:16:35,2015-06-10 19:17:00,60.416666666666664
work,2015-06-10 21:00:19,2015-06-10 22:00:00,59.68333333333333
work,2015-06-10 22:05:00,2015-06-10 23:05:00,60.0
work,2015-06-10 23:10:00,2015-06-11 00:10:00,60.0
work,2015-06-11 10:02:41,2015-06-11 11:03:00,60.31666666666667
work,2015-06-11 11:08:01,2015-06-11 12:00:28,52.45
work,2015-06-11 13:35:09,2015-06-11 14:35:00,59.85
work,2015-06-11 15:20:04,2015-06-11 16:20:00,59.93333333333333
work,2015-06-11 16:32:42,2015-06-11 17:16:35,43.88333333333333
work,2015-06-12 10:09:57,2015-06-12 11:10:00,60.05
work,2015-06-12 11:15:00,2015-06-12 12:15:00,60.0
work,2015-06-14 16:05:05,2015-06-14 17:05:00,59.916666666666664
work,2015-06-14 17:10:00,2015-06-14 18:10:00,60.0
work,2015-06-14 18:15:00,2015-06-14 19:15:00,60.0
work,2015-06-14 19:29:32,2015-06-14 20:30:00,60.46666666666667
work,2015-06-14 20:35:00,2015-06-14 21:35:00,60.0
work,2015-06-14 22:10:55,2015-06-14 23:11:00,60.083333333333336
work,2015-06-15 10:23:15,2015-06-15 11:23:00,59.75
work,2015-06-15 17:56:58,2015-06-15 18:57:00,60.03333333333333
work,2015-06-15 22:05:55,2015-06-15 23:06:00,60.083333333333336
work,2015-06-15 23:11:00,2015-06-16 00:11:00,60.0
work,2015-06-17 10:06:13,2015-06-17 11:06:00,59.78333333333333
work,2015-06-19 14:53:41,2015-06-19 15:54:00,60.31666666666667
work,2015-06-19 15:59:00,2015-06-19 16:59:00,60.0
work,2015-06-19 17:04:00,2015-06-19 18:04:00,60.0
work,2015-06-20 08:22:30,2015-06-20 09:23:00,60.5
work,2015-06-20 09:28:01,2015-06-20 10:28:00,59.983333333333334
work,2015-06-20 14:04:41,2015-06-20 15:05:00,60.31666666666667
work,2015-06-20 15:10:00,2015-06-20 16:10:00,60.0
work,2015-06-21 17:12:20,2015-06-21 18:12:00,59.666666666666664
work,2015-06-21 18:17:00,2015-06-21 19:17:00,60.0
work,2015-06-21 20:01:34,2015-06-21 21:02:00,60.43333333333333
work,2015-06-21 21:07:00,2015-06-21 22:07:00,60.0
work,2015-06-21 22:12:00,2015-06-21 23:12:10,60.166666666666664
work,2015-06-21 23:39:42,2015-06-22 00:40:07,60.416666666666664
work,2015-06-22 14:22:47,2015-06-22 15:23:00,60.21666666666667
work,2015-06-22 15:28:00,2015-06-22 16:28:00,60.0
work,2015-06-22 16:38:00,2015-06-22 17:38:00,60.0
work,2015-06-22 17:43:00,2015-06-22 18:43:00,60.0
work,2015-06-23 16:57:51,2015-06-23 17:58:00,60.15
work,2015-06-23 18:03:00,2015-06-23 19:03:00,60.0
work,2015-06-23 19:08:00,2015-06-23 20:08:00,60.0
work,2015-06-23 21:15:06,2015-06-23 22:15:00,59.9
work,2015-06-23 22:20:00,2015-06-23 23:20:00,60.0
work,2015-06-24 10:54:56,2015-06-24 11:55:00,60.06666666666667
work,2015-06-24 13:20:22,2015-06-24 14:20:00,59.63333333333333
work,2015-06-24 14:25:00,2015-06-24 15:25:00,60.0
work,2015-06-24 15:30:00,2015-06-24 16:30:00,60.0
work,2015-06-24 16:39:57,2015-06-24 17:40:00,60.05
work,2015-06-24 18:02:31,2015-06-24 19:03:00,60.483333333333334
work,2015-06-24 21:00:34,2015-06-24 22:01:00,60.43333333333333
work,2015-06-24 22:06:00,2015-06-24 23:06:00,60.0
work,2015-06-24 23:26:18,2015-06-25 00:26:00,59.7
work,2015-06-25 09:40:55,2015-06-25 10:41:00,60.083333333333336
work,2015-06-25 10:46:00,2015-06-25 11:46:00,60.0
work,2015-06-25 13:02:25,2015-06-25 14:02:00,59.583333333333336
work,2015-06-25 15:41:32,2015-06-25 16:42:00,60.46666666666667
work,2015-06-25 17:20:15,2015-06-25 18:20:00,59.75
work,2015-06-25 18:36:41,2015-06-25 19:30:00,53.31666666666667
work,2015-06-25 21:35:16,2015-06-25 22:35:00,59.733333333333334
work,2015-06-25 23:16:52,2015-06-25 23:47:00,30.133333333333333
work,2015-06-26 00:10:17,2015-06-26 00:40:00,29.716666666666665
work,2015-06-29 16:26:31,2015-06-29 16:57:00,30.483333333333334
work,2015-06-29 17:02:00,2015-06-29 17:32:00,30.0
work,2015-06-29 17:37:00,2015-06-29 18:07:00,30.0
work,2015-06-29 20:00:10,2015-06-29 21:00:00,59.833333333333336
work,2015-06-29 21:05:00,2015-06-29 22:05:00,60.0
work,2015-06-29 22:10:00,2015-06-29 23:10:00,60.0
work,2015-06-30 15:19:15,2015-06-30 16:19:00,59.75
work,2015-06-30 16:24:00,2015-06-30 17:24:00,60.0
work,2015-06-30 17:31:34,2015-06-30 18:32:00,60.43333333333333
work,2015-06-30 18:40:33,2015-06-30 19:41:00,60.45
work,2015-06-30 21:28:32,2015-06-30 22:29:00,60.46666666666667
work,2015-06-30 22:35:07,2015-06-30 23:35:00,59.88333333333333
